code1;name1;code2;name2
ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг
ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа
ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым
ICE1-1004;пяоцяаллатислос упокоцистым;P1-1040;пяоцяаллатислос упокоцистым
ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа
ICE1-1006;жусийг;P1-1060;жусийг
ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым
ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг
ICE1-2004;амтийеилемостяежгс пяоцяаллатислос;P1-2040;амтийеилемостяежгс пяоцяаллатислос
ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг
ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым
ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта
ICE1-3002;гкейтяомийг;P1-3020;гкейтяомийг
ICE1-3003;долес дедолемым;P1-2030;долес дедолемым
ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и
ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и
ICE1-3006;аявитейтомийг упокоцистым;P1-3060;аявитейтомийг упокоцистым
ICE1-4001;басеис дедолемым и;P1-3030;басеис дедолемым и
ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии
ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии
ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым
ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым
ICE1-4006;сглата йаи сустглата;P1-4060;сглата йаи сустглата
ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии
ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос
